Model,Description,Long Description, price 
AX-AXC USB C8MS,"Axtel USB  Bottom Cable with DSP and Multifunction Controller (Mute, Call Pick Up, Volume up & down)","Axtel USB  Bottom Cable with DSP and Multifunction Controller (Mute, Call Pick Up, Volume up & down)",518.61
CO-C5EUTP100,24AWG UTP CAT5E Indoor Cable Pass Fluke Test - 100m ,24AWG UTP CAT5E Indoor Cable Pass Fluke Test - 100m , 443.00 
CO-C5EFTP100,24AWG FTP CAT5E Indoor Cable Pass Fluke Test - 100m ,24AWG FTP CAT5E Indoor Cable Pass Fluke Test - 100m , 525.00 
CO-C6UTP100,23AWG UTP CAT6 Indoor Cable Pass Fluke Test - 100m ,23AWG UTP CAT6 Indoor Cable Pass Fluke Test - 100m , 565.00 
CO-C5EUTP305,24AWG UTP CAT5E Indoor Cable Pass Fluke Test - 305m ,24AWG UTP CAT5E Indoor Cable Pass Fluke Test - 305m ," 1,260.00 "
CO-C5EUTP500,24AWG UTP CAT5E Indoor Cable Pass Fluke Test - 500m ,24AWG UTP CAT5E Indoor Cable Pass Fluke Test - 500m ," 2,125.00 "
CO-C5EFTP305,24AWG FTP CAT5E Indoor Cable Pass Fluke Test - 305m ,24AWG FTP CAT5E Indoor Cable Pass Fluke Test - 305m ," 1,005.00 "
CO-C6UTP305,23AWG UTP CAT6 Indoor Cable Pass Fluke Test - 305m ,23AWG UTP CAT6 Indoor Cable Pass Fluke Test - 305m ," 1,665.00 "
CO-C6FTP305,23AWG FTP CAT6 Indoor Cable Pass Fluke Test - 305m ,23AWG FTP CAT6 Indoor Cable Pass Fluke Test - 305m ," 2,181.00 "
CO-C6UTP500,23AWG UTP CAT6 Indoor Cable Pass Fluke Test - 500m ,23AWG UTP CAT6 Indoor Cable Pass Fluke Test - 500m ," 2,075.00 "
CO-C5ESTP100,24AWG STP CAT5E Double Shield Outdoor Cable - 100m,24AWG STP CAT5E Double Shield Outdoor Cable - 100m, 632.00 
CO-C5ESTP305,24AWG STP CAT5E Double Shield Outdoor Cable - 305m,24AWG STP CAT5E Double Shield Outdoor Cable - 305m," 1,843.00 "
CO-C5ESTP500,24AWG STP CAT5E DOUBLE SHIELD OUTDOOR CABLE - 500m,24AWG STP CAT5E DOUBLE SHIELD OUTDOOR CABLE - 500m," 3,886.00 "
CO-C6STP305,23AWG STP CAT6 Outdoor Cable - 305m,23AWG STP CAT6 Outdoor Cable - 305m," 2,058.00 "
CO-LMR200,LMR200 jumper cable 50cm RP SMA male-N male,LMR200 jumper cable 50cm RP SMA male-N male, 120.00 
CO-LMR400,LMR400 1M N male straight crimp-N male straight crimp,LMR400 1M N male straight crimp-N male straight crimp, 217.00 
CO-C5ESFB1,CAT5E Surface Mount Single Box,CAT5E Surface Mount Single Box, 15.00 
CO-C5ESFB2,CAT5E Surface Mount Double Box,CAT5E Surface Mount Double Box, 27.00 
CO-C6ESFB1,CAT6 Surface Mount Single Box,CAT6 Surface Mount Single Box, 19.00 
CO-C6ESFB2,CAT6 Surface Mount Double Box,CAT6 Surface Mount Double Box, 34.00 
CO-CAT5ERJ45UTP,RJ45 UTP CAT5E Connector  - 50pcs,RJ45 UTP CAT5E Connector  - 50pcs, 20.00 
CO-CAT6RJ45UTP,RJ45 UTP CAT6  Connector - 50pcs,RJ45 UTP CAT6  Connector - 50pcs, 39.00 
CO-CAT5ERJ45FTP,RJ45 FTP CAT5E Connector - 50pcs,RJ45 FTP CAT5E Connector - 50pcs, 20.00 
CO-CAT6RJ45FTP,RJ45 FTP CAT6  Connector - 50pcs,RJ45 FTP CAT6  Connector - 50pcs, 48.00 
CO-RJ45BTSG,RJ45 Boots Grey Colour - 50pcs,RJ45 Boots Grey Colour - 50pcs, 7.00 
CO-RJ46BTSB,RJ45 Boots Black Colour - 50pcs,RJ45 Boots Black Colour - 50pcs, 24.00 
CO-C5EPPUTP,24Port  UTP CAT5E Patch Panel,24Port  UTP CAT5E Patch Panel, 300.00 
CO-C6EPPUTP,24Port  UTP CAT6 Patch Panel,24Port  UTP CAT6 Patch Panel, 257.00 
CO-C5EPPFTP,24Port  FTP CAT5E Patch Panel,24Port  FTP CAT5E Patch Panel, 776.00 
CO-C6PPFTP,24Port  FTP CAT6 Patch Panel,24Port  FTP CAT6 Patch Panel, 827.00 
CO-PP1UBMB,"Connect PP1UBMB, 1U Brush Panel Black","Connect PP1UBMB, 1U Brush Panel Black", 72.00 
CO-C5EPAT0.5M,24AWG UTP CAT5E Patch Cable 0.5M,24AWG UTP CAT5E Patch Cable 0.5M, 5.00 
CO-C5EPAT1M,24AWG UTP CAT5E Patch Cable 1M,24AWG UTP CAT5E Patch Cable 1M, 11.00 
CO-C5EPAT3M,24AWG UTP CAT5E Patch Cable 3M,24AWG UTP CAT5E Patch Cable 3M, 24.00 
CO-C6PAT0.5M,24AWG UTP CAT6 Patch Cable 0.5M,24AWG UTP CAT6 Patch Cable 0.5M, 8.00 
CO-C6PAT1M,24AWG UTP CAT6 Patch Cable 1M,24AWG UTP CAT6 Patch Cable 1M, 11.00 
CO-C6PAT3M,24AWG UTP CAT6 Patch Cable 3M,24AWG UTP CAT6 Patch Cable 3M, 21.00 
CO-4U CAB,"Connect 4U Cabinet, 600x450, Detachable,glass door, with plastic multiplugs, fan, brush panel, cage nuts     ","Connect 4U Cabinet, 600x450, Detachable,glass door, with plastic multiplugs, fan, brush panel, cage nuts     ", 857.00 
CO-6U CAB,"Connect 6U Cabinet, 600x450, Detachable,glass door, with plastic multiplugs, fan, brush panel, cage nuts     ","Connect 6U Cabinet, 600x450, Detachable,glass door, with plastic multiplugs, fan, brush panel, cage nuts     ", 931.00 
CO-9U CAB,"Connect 9U Cabinet, 600x450, Detachable,glass door, with plastic multiplugs, fan, brush panel, cage nuts     ","Connect 9U Cabinet, 600x450, Detachable,glass door, with plastic multiplugs, fan, brush panel, cage nuts     "," 1,360.00 "
CO-12U CAB,"Connect 12U Cabinet, 600x450, Detachable,glass door, with plastic multiplugs, fan, brush panel, cage nuts","Connect 12U Cabinet, 600x450, Detachable,glass door, with plastic multiplugs, fan, brush panel, cage nuts"," 1,078.00 "
CO-CAB 6UO,"Connect CAB-6UO,  6U 450 Deep Outdoor Cabinet 2X Fan","Connect CAB-6UO,  6U 450 Deep Outdoor Cabinet 2X Fan"," 1,831.00 "
CO-4U CABFP,"Connect 4U Cabinet, 600x450,  without PDU/Fans/Cable Manager","Connect 4U Cabinet, 600x450,  without PDU/Fans/Cable Manager", 752.00 
CO-6U CABFP,"Connect 6U Cabinet, 600x450, without PDU/Fans/Cable Manager","Connect 6U Cabinet, 600x450, without PDU/Fans/Cable Manager", 817.00 
GG-A540IP,Gigaset A540 IP Voip DECT Dual Cordless Phone,Gigaset A540 IP Voip DECT Dual Cordless Phone,"1,035.00"
GG-E630A GO,Gigaset Ruggedized Cordless Dect Phone,Gigaset Ruggedized Cordless Dect Phone,"1,583.00"
GG-REP,"Dect Repeater - additional range 50m indoors, 300m outdoors for A580IP","Dect Repeater - additional range 50m indoors, 300m outdoors for A580IP","2,056.00"
GG-DX800A,"Soho PBX Solution, 4 Voip Calls, 1 x FXO/ISDN, 2 x RJ45, Gigabit, register 6 handsets","Soho PBX Solution, 4 Voip Calls, 1 x FXO/ISDN, 2 x RJ45, Gigabit, register 6 handsets","3,696.00"
GG-N510IP,"Gigaset Base Station only, 6 SIP accounts with 4 concurrent calls","Gigaset Base Station only, 6 SIP accounts with 4 concurrent calls","1,740.00"
GG-E630H,"Additional Handset, Rugged handset, Dust, splash and shock resistant","Additional Handset, Rugged handset, Dust, splash and shock resistant","1,062.00"
GG-R650H PRO,Gigaset R630H Ruggedized Handset,Gigaset R630H Ruggedized Handset,"2,380.00"
GG-A540H,Additional handsets for A510IP (max 6 handsets per base station),Additional handsets for A510IP (max 6 handsets per base station),622
GG-S650H PRO,"Additional Handset, Colour Screen, 8 line display","Additional Handset, Colour Screen, 8 line display","1,779.00"
GS-GXP1615,Grandstream 10/100 1 line IP phone with POE,Grandstream 10/100 1 line IP phone with POE,425.54
GS-GXP1625,Grandstream 10/100 2 line IP phone with POE,Grandstream 10/100 2 line IP phone with POE,689.04
GS-GXP1628,"Grandstream Gigabit 2 line,8 BLF IP phone with POE","Grandstream Gigabit 2 line,8 BLF IP phone with POE",926.64
GS-GXP1630,"Grandstream Gigabit 3 line, 8 BLF IP phone with PO","Grandstream Gigabit 3 line, 8 BLF IP phone with PO",963.9
GS-GXP1760W,"Grandstream 10/100 6 line IP phone with POE, wifi","Grandstream 10/100 6 line IP phone with POE, wifi","1,496.88"
GS-GXP1780,"Grandstream Gigabit 8 line, 4 SIP, POE IP Phone","Grandstream Gigabit 8 line, 4 SIP, POE IP Phone",832.5
GS-GXP1782,"Grandstream Gigabit 8 line, 4 SIP, POE IP Phone","Grandstream Gigabit 8 line, 4 SIP, POE IP Phone",985.36
GS-GXP2130,"Grandstream Gigabit 3 line,8 BLF, colour screen IP","Grandstream Gigabit 3 line,8 BLF, colour screen IP",990
GS-GXP2135,"Grandstream Gigabit 8 line,8 BLF,IP phone with POE","Grandstream Gigabit 8 line,8 BLF,IP phone with POE","1,104.66"
GS-GXP2140,"Grandstream Gigabit 4 line, IP phone with POE","Grandstream Gigabit 4 line, IP phone with POE","1,434.51"
GS-GXP2160,"Grandstream Gigabit 6 Line, 6 SIP, POE IP Phone","Grandstream Gigabit 6 Line, 6 SIP, POE IP Phone","1,500.00"
GS-GXP2170,"Grandstream Gigabit 12 line,48 BLF,IP phone POE  ","Grandstream Gigabit 12 line,48 BLF,IP phone POE  ","1,694.93"
GS-GXP2200EXT,"Grandstream backlit LCD extension module for GXP2140, GXP2170 and GXV3240","Grandstream backlit LCD extension module for GXP2140, GXP2170 and GXV3240","1,255.50"
GS-GRP2612,Grandstream 2-Line Carrier Desk Phone w/o PoE,Grandstream 2-Line Carrier Desk Phone w/o PoE,737.2
GS-GRP2612P,Grandstream 2-Line Carrier Desk Phone with PoE ( No PSU),Grandstream 2-Line Carrier Desk Phone with PoE ( No PSU),743.08
GS-GRP2612W,Grandstream 2-Line Carrier Desk Phone with PoE + WiFi,Grandstream 2-Line Carrier Desk Phone with PoE + WiFi,"1,496.88"
GS-GRP2613,Grandstream 3-Line Carrier Desk Phone with PoE,Grandstream 3-Line Carrier Desk Phone with PoE,"1,002.60"
GS-GRP2614,Grandstream 4-Line Carrier Desk Phone with PoE,Grandstream 4-Line Carrier Desk Phone with PoE,"1,795.37"
GS-GRP2615,Grandstream 10-Line Carrier Desk Phone with PoE,Grandstream 10-Line Carrier Desk Phone with PoE,"2,259.90"
GS-GRP2616,Grandstream 6-Line Carrier Desk Phone with PoE,Grandstream 6-Line Carrier Desk Phone with PoE,"2,280.96"
GS-GBX20,Grandstream Expansion Module for GRP2615 & GXV3350,Grandstream Expansion Module for GRP2615 & GXV3350,"1,877.04"
GS-DP720,Grandstream DECT handset - Compatible with DP750 + DP752,Grandstream DECT handset - Compatible with DP750 + DP752,760.32
GS-DP722,Grandstream DECT handset - Compatible with DP750 + DP752,Grandstream DECT handset - Compatible with DP750 + DP752,807.84
GS-DP730,Grandstream DECT handset - Compatible with DP750 + DP752,Grandstream DECT handset - Compatible with DP750 + DP752,"1,197.63"
GS-DP750,Grandstream DECT VoIP B/S 10 lines 5 Handsets DP720 P/B,Grandstream DECT VoIP B/S 10 lines 5 Handsets DP720 P/B,648.68
GS-DP752,"Grandstream DECT VoIP B/S 10 lines 5 Handsets P/B DP720, DP722, DP730","Grandstream DECT VoIP B/S 10 lines 5 Handsets P/B DP720, DP722, DP730",685.08
GS-DP760,Grandstream DECT Repeater,Grandstream DECT Repeater,"1,175.85"
GS-WP820,Grandstream WP820 Wifi Portable Phone,Grandstream WP820 Wifi Portable Phone,"2,589.38"
GS-GXV3240,"Grandstream Android 4.3"" touch screen Video Phone","Grandstream Android 4.3"" touch screen Video Phone","2,391.12"
GS-GXV3350,"Grandstream Android 5"" touch screen Video Phone","Grandstream Android 5"" touch screen Video Phone","3,754.08"
GS-GXV3370,"Grandstream GXV3370 IP Video Phone, 16 SIP","Grandstream GXV3370 IP Video Phone, 16 SIP","4,395.60"
GS-GXV3380,Grandstream GXV3380 Android Video IP Phone,Grandstream GXV3380 Android Video IP Phone,"6,629.04"
GS-GAC2500,Grandstream Android-based Business Conference Phne,Grandstream Android-based Business Conference Phne,"4,457.36"
GS-GVC3200,Grandstream Android 9 way video conferencing system,Grandstream Android 9 way video conferencing system,"24,758.00"
GS-GVC3202,Grandstream Android 3 way video conferencing system,Grandstream Android 3 way video conferencing system,"9,795.00"
GS-GVC3210,"Grandstream 4K EPTZ, Video Conferencing Unit","Grandstream 4K EPTZ, Video Conferencing Unit","11,997.72"
GS-IPVT10,"Grandstream IPVT10 Enterprise Server (NFR watermark, 4-way MCU, 8 participants after first 60-day full capacity license demo )","Grandstream IPVT10 Enterprise Server (NFR watermark, 4-way MCU, 8 participants after first 60-day full capacity license demo )","95,016.24"
GS-IPVTBP,"Grandstream IP Video Talk WebRTC for small Business, up to 50 Patricipants and up to 49 video Feeds","Grandstream IP Video Talk WebRTC for small Business, up to 50 Patricipants and up to 49 video Feeds", Fee 
GS-IPVTPP,"Grandstream IP Video Talk WebRTC for small Business, up to 100 Patricipants and up to 49 video Feeds (Monthly service fee billed annually)","Grandstream IP Video Talk WebRTC for small Business, up to 100 Patricipants and up to 49 video Feeds (Monthly service fee billed annually)",165
GS-IPVTBUS,"Grandstream IP Video Talk WebRTC for small Business, up to 50 Patricipants and up to 49 video Feeds (Monthly service fee billed annually)","Grandstream IP Video Talk WebRTC for small Business, up to 50 Patricipants and up to 49 video Feeds (Monthly service fee billed annually)",242
GS-IPVTGVC,GVC add on to IPVideoTalk Plans (Monthly service fee billed annually),GVC add on to IPVideoTalk Plans (Monthly service fee billed annually),396
GS-IPVTSTOR,Add extra 50GB Cloud Storage to IPVT Plans (Monthly service fee billed annually),Add extra 50GB Cloud Storage to IPVT Plans (Monthly service fee billed annually),264
GS-IPVTPAR50,Add 50 Participants to IPVideoTalk Plan (Monthly service fee billed annually),Add 50 Participants to IPVideoTalk Plan (Monthly service fee billed annually),264
GS-IPVTPAR150,Add 150 Participants to IPVideoTalk Plan (Monthly service fee billed annually),Add 150 Participants to IPVideoTalk Plan (Monthly service fee billed annually),726
GS-IPVT10DEMO,"IPVT10 Full Demo LicenseNFR watermark, full capacity, no-time-limit demo license","IPVT10 Full Demo LicenseNFR watermark, full capacity, no-time-limit demo license","61,111.11"
GS-IPVT10 35,"IPVT10 - 16-way MCU, 35-participant license
","IPVT10 - 16-way MCU, 35-participant license
","24,444.44"
GS-IPVT10 50,"IPVT10 - 25-way MCU, 50-participant license
","IPVT10 - 25-way MCU, 50-participant license
","36,666.67"
GS-IPVT10 75,"IPVT10 - 36-way MCU, 75-participant license
","IPVT10 - 36-way MCU, 75-participant license
","48,888.89"
GS-IPVT10 100,"IPVT10 - 49-way MCU, 100-participant license
","IPVT10 - 49-way MCU, 100-participant license
","61,111.11"
GS-IPVT10 200,"IPVT10 - 98-way MCU, 200-participant license
","IPVT10 - 98-way MCU, 200-participant license
","85,555.56"
GS-IPVT10 300,"IPVT10 - 120-way MCU,300-participant license
","IPVT10 - 120-way MCU,300-participant license
","110,000.00"
GS-UCM6202,"Grandstream IP PBX applicance, 500 Users, 50 Concurrent calls, up to 50 SIP Trunks 2 FXO,2 FXS ports","Grandstream IP PBX applicance, 500 Users, 50 Concurrent calls, up to 50 SIP Trunks 2 FXO,2 FXS ports","4,443.12"
GS-UCM6204,"Grandstream IP PBX applicance, 500 Users, 75 Concurrent calls, up to 50 SIP Trunks 4 FXO,2 FXS ports","Grandstream IP PBX applicance, 500 Users, 75 Concurrent calls, up to 50 SIP Trunks 4 FXO,2 FXS ports","4,720.68"
GS-UCM6208,"Grandstream IP PBX applicance, 500 Users, 100 Concurrent calls, up to 50 SIP Trunks 8 FXO,2 FXS ports","Grandstream IP PBX applicance, 500 Users, 100 Concurrent calls, up to 50 SIP Trunks 8 FXO,2 FXS ports","9,520.20"
GS-UCM6510,"Grandstream IP PBX appliance, 2000 Users, 200 Concurrent calls, up to 50 SIP Trunks PRI interface","Grandstream IP PBX appliance, 2000 Users, 200 Concurrent calls, up to 50 SIP Trunks PRI interface","12,010.00"
GS-HA100,Grandstream High Availability PABX,Grandstream High Availability PABX,"2,135.64"
GS-GXW4104,Grandstream 10/100 4FXO Gateway,Grandstream 10/100 4FXO Gateway,"2,751.71"
GS-GXW4108,"Grandsteam 10/100, 8 FXO Port Gateway","Grandsteam 10/100, 8 FXO Port Gateway","3,536.46"
GS-GXW4216,Grandstream Gigabit 16 FXS port Gateway,Grandstream Gigabit 16 FXS port Gateway,"4,555.98"
GS-GXW4224,Grandstream Gigabit 24 FXS port Gateway,Grandstream Gigabit 24 FXS port Gateway,"8,051.00"
GS-GXW4232,Grandstream Gigabit 32 FXS port Gateway,Grandstream Gigabit 32 FXS port Gateway,"8,049.38"
GS-GXW4248,Grandstream Gigabit 48 FXS port Gateway,Grandstream Gigabit 48 FXS port Gateway,"15,053.85"
GS-GXW4501,Grandstream 1 E1/T1/J1 Digital VoIP Gateway,Grandstream 1 E1/T1/J1 Digital VoIP Gateway,"9,266.40"
GS-GXW4502,Grandstream 2 E1/T1/J1 Digital VoIP Gateway,Grandstream 2 E1/T1/J1 Digital VoIP Gateway,"15,681.60"
GS-GXW4504,Grandstream 4 E1/T1/J1 Digital VoIP Gateway,Grandstream 4 E1/T1/J1 Digital VoIP Gateway,"26,136.00"
GS-HT801,Grandstream HT801 1 FXS port (ATA),Grandstream HT801 1 FXS port (ATA),522.72
GS-HT802,Grandstream HT802 2 FXS port (ATA),Grandstream HT802 2 FXS port (ATA),625.7
GS-HT812,"Grandstream 2 FXS Analog Phone Adapter (ATA), GB","Grandstream 2 FXS Analog Phone Adapter (ATA), GB",712.8
GS-HT813,"Grandstream 1FXS, 1FXO Analog Phone Adapter (ATA)","Grandstream 1FXS, 1FXO Analog Phone Adapter (ATA)",833.92
GS-HT814,"Grandstream 4 FXS Analog Phone Adapter (ATA), GB","Grandstream 4 FXS Analog Phone Adapter (ATA), GB","1,401.84"
GS-HT818,"Grandstream 8 FXS Analog Phone Adapter (ATA), GB","Grandstream 8 FXS Analog Phone Adapter (ATA), GB","1,828.10"
GS-GWN7600,"Grandstream 802.11 Wireless Access Point, Dual Band 2x2:2 MIMO","Grandstream 802.11 Wireless Access Point, Dual Band 2x2:2 MIMO","1,188.00"
GS-GWN7610,"Grandstream 802.11 Wireless Access Point, Dual Band 3x3:3  MIMO","Grandstream 802.11 Wireless Access Point, Dual Band 3x3:3  MIMO","1,314.23"
GS-GWN7630,"Grandstream 802.11 Wireless Access Point, Dual Band 4x4:4 MIMO","Grandstream 802.11 Wireless Access Point, Dual Band 4x4:4 MIMO","1,429.31"
GS-GWN7600LR,"Grandstream Wireless Access Point Long Range 2x2:2 MIMO (NO PSU, Requires POE)","Grandstream Wireless Access Point Long Range 2x2:2 MIMO (NO PSU, Requires POE)","1,782.00"
GS-GWN7000,"Grandstream Multi -WAN VPN Router, 2 x WAN and 5 x LAN","Grandstream Multi -WAN VPN Router, 2 x WAN and 5 x LAN","1,670.63"
GS-POE,Grandstream PoE Injector,Grandstream PoE Injector,237.6
GS-GSC3505,"Grandstream 1 way SIP Intercom Speaker, Intergrated WiFi and Bluetooth","Grandstream 1 way SIP Intercom Speaker, Intergrated WiFi and Bluetooth","2,808.00"
GS-GSC3510,"Grandstream 2 way SIP intercom speaker, Intergrated WiFi and Bluetooth","Grandstream 2 way SIP intercom speaker, Intergrated WiFi and Bluetooth","3,738.15"
GS-GDS3705,Grandstream GDS3705 Door phone system,Grandstream GDS3705 Door phone system,"3,307.50"
GS-GDS3710,Grandstream GDS3710 Video Door System,Grandstream GDS3710 Video Door System,"3,969.00"
GS-GDS In Wall Mount,Grandstream GDS In-Wall Mounting Kit,Grandstream GDS In-Wall Mounting Kit,570.24
GS-RFID CARD,Grandstream USB RFID Card Reader,Grandstream USB RFID Card Reader,337.77
GS-RFID CB,Grandstream RFID Card Bundle 100pcs for the GDS37xx and USB RFID Card Reaader,Grandstream RFID Card Bundle 100pcs for the GDS37xx and USB RFID Card Reaader,"1,069.20"
RFID Fob Bundle 100 pcs,Grandstream RFID FOB tags Bundle 100pcs for the GDS37xx and USB RFID Card Reaader,Grandstream RFID FOB tags Bundle 100pcs for the GDS37xx and USB RFID Card Reaader,"1,069.20"
UN-ICW 1000G,"Wifi Phone, Colour Display, L2-L3 quick roaming and convenient management of auto provisioning","Wifi Phone, Colour Display, L2-L3 quick roaming and convenient management of auto provisioning","2,341.00"
UN-ICW 1000G S,Silicon Pouch for UNI-ICW1000G,Silicon Pouch for UNI-ICW1000G,591
UN-ICW 1000B,Replacement Battery for the UNI-ICW-1000G,Replacement Battery for the UNI-ICW-1000G,444
JR-JRC 24 MIMO,"JRC-24 MIMO RPSMA - ø 380 mm, 23.6dBi, 9°,  5.4 - 5.9 GHz","JRC-24 MIMO RPSMA - ø 380 mm, 23.6dBi, 9°,  5.4 - 5.9 GHz","1,911.19"
JR-JRC 24DD MIMO,"JRC-24DD MIMO - Ø 400 mm, Aluminium alloy, 24.5 ± 1 dBi, 9.0?, 4.9 – 6.4 GHz","JRC-24DD MIMO - Ø 400 mm, Aluminium alloy, 24.5 ± 1 dBi, 9.0?, 4.9 – 6.4 GHz","2,517.00"
JR-JRC 24DD SX MIMO,"JRC-24DD-SX MIMO - Ø 400 mm, Aluminium alloy, 24.5 ± 1 dBi, 9.0?, 4.9 – 6.4 GHz","JRC-24DD-SX MIMO - Ø 400 mm, Aluminium alloy, 24.5 ± 1 dBi, 9.0?, 4.9 – 6.4 GHz","2,881.08"
JR-JRC 24DD MIMO PREC,"JRC-24DD MIMO - Precision - Ø 400 mm, Aluminium alloy, 24.5 ± 1 dBi, 9.0?, 4.9 – 6.4 GHz","JRC-24DD MIMO - Precision - Ø 400 mm, Aluminium alloy, 24.5 ± 1 dBi, 9.0?, 4.9 – 6.4 GHz","6,027.19"
JR-JRC 24DD DUPLEX,"JRC-24DD DuplEX - Ø 400 mm, Aluminium alloy, 24.5 ± 1 dBi, 9.0?, 4.9 – 6.1 GHz","JRC-24DD DuplEX - Ø 400 mm, Aluminium alloy, 24.5 ± 1 dBi, 9.0?, 4.9 – 6.1 GHz","3,824.74"
JR-JRC 24DD SX DUPLEX,"JRC-24DD-SX DuplEX - Ø 400 mm, Aluminium alloy, 24.5 ± 1 dBi, 9.0?, 4.9 – 6.1 GHz","JRC-24DD-SX DuplEX - Ø 400 mm, Aluminium alloy, 24.5 ± 1 dBi, 9.0?, 4.9 – 6.1 GHz","4,188.81"
JR-JRC 24DD DUPLEX PREC,"JRC-24DD DuplEX - Precision - Ø 400 mm, Aluminium alloy, 24.5 ± 1 dBi, 9.0?, 4.9 – 6.1 GHz","JRC-24DD DuplEX - Precision - Ø 400 mm, Aluminium alloy, 24.5 ± 1 dBi, 9.0?, 4.9 – 6.1 GHz","6,947.85"
JR-JRC 29 MIMO NTYPE,"JRC-29 MIMO - ø 650 mm, 28dBi, 5.4 - 5.9 GHz, 5,8°, 28.6dBi","JRC-29 MIMO - ø 650 mm, 28dBi, 5.4 - 5.9 GHz, 5,8°, 28.6dBi","2,935.62"
JR-JRC 29DD MIMO,"JRC-29DD MIMO - Ø 680 mm, Aluminium alloy, 29.0 ± 1 dBi, 5.8?, 4.9 – 6.4 GHz","JRC-29DD MIMO - Ø 680 mm, Aluminium alloy, 29.0 ± 1 dBi, 5.8?, 4.9 – 6.4 GHz","4,243.35"
JR-JRC 29DD SX MIMO,"JRC-29DD-SX MIMO - Ø 680 mm, Aluminium alloy, 29.0 ± 1 dBi, 5.5?, 4.9 – 6.4 GHz","JRC-29DD-SX MIMO - Ø 680 mm, Aluminium alloy, 29.0 ± 1 dBi, 5.5?, 4.9 – 6.4 GHz","4,682.60"
JR-JRC 29DD MIMO PREC,"JRC-29DD MIMO - Precision - Ø 680 mm, Aluminium alloy, 29.0 ± 1 dBi, 5.5?, 4.9 – 6.4 GHz","JRC-29DD MIMO - Precision - Ø 680 mm, Aluminium alloy, 29.0 ± 1 dBi, 5.5?, 4.9 – 6.4 GHz","7,715.51"
JR-JRC 29DD DUPLEX,"JRC-29DD DuplEX - Ø 680 mm, Aluminium alloy, 29.0 ± 1 dBi, 5.5?, 4.9 – 6.1 GHz","JRC-29DD DuplEX - Ø 680 mm, Aluminium alloy, 29.0 ± 1 dBi, 5.5?, 4.9 – 6.1 GHz","5,068.50"
JR-JRC 29EX MIMO,"JRC-29EX MIMO - ø 650 mm, 28,6 ±0,6dBi, 5,8°, 5,4 - 5,9 GHz","JRC-29EX MIMO - ø 650 mm, 28,6 ±0,6dBi, 5,8°, 5,4 - 5,9 GHz","2,693.00"
JR-JRC 29 DUPLEX,"JRC-29 DuplEX - ø 650 mm, 28.6dBi,  5,8°, 5,45 - 5,9 GHz,  ","JRC-29 DuplEX - ø 650 mm, 28.6dBi,  5,8°, 5,45 - 5,9 GHz,  ","3,664.00"
JR-JRC 29DD DUPLEX,"JRC-29DD DuplEX - Ø 680 mm, Aluminium alloy, 29.0 ± 1 dBi, 5.5?, 4.9 – 6.1 GHz","JRC-29DD DuplEX - Ø 680 mm, Aluminium alloy, 29.0 ± 1 dBi, 5.5?, 4.9 – 6.1 GHz","5,068.50"
JR-JRC 29DD MIMO,"JRC-29DD MIMO - Ø 680 mm, Aluminium alloy, 29.0 ± 1 dBi, 5.8?, 4.9 – 6.4 GHz","JRC-29DD MIMO - Ø 680 mm, Aluminium alloy, 29.0 ± 1 dBi, 5.8?, 4.9 – 6.4 GHz","4,243.35"
JR-JRC 29DD DUPLEX PREC,"JRC-29DD DuplEX - Precision - Ø 680 mm, Aluminium alloy, 29.0 ± 1 dBi, 5.5, 4.9 – 6.1 GHz","JRC-29DD DuplEX - Precision - Ø 680 mm, Aluminium alloy, 29.0 ± 1 dBi, 5.5, 4.9 – 6.1 GHz","8,653.85"
JR-JRC 32 DUPLEX PREC,"JRC-32 DuplEX - Precision - ø900 mm, Frequency range 5,45 - 5,85 GHz, 32.2 dBi, 4,1°","JRC-32 DuplEX - Precision - ø900 mm, Frequency range 5,45 - 5,85 GHz, 32.2 dBi, 4,1°","7,976.00"
JR-JRC 32DD DUPLEX PREC,"JRC–32DD DuplEX Precision - Ø 900 mm, Aluminium alloy, 32.1 ± 1 dBi, 4.3?, 5.1 – 6.1 GHz","JRC–32DD DuplEX Precision - Ø 900 mm, Aluminium alloy, 32.1 ± 1 dBi, 4.3?, 5.1 – 6.1 GHz","11,646.96"
JR-JRC 32DD MIMO,"JRC–32DD MIMO Precision - Ø 900 mm, Aluminium alloy, 32.1 ± 1 dBi, 4.3?, 4.9 – 6.4 GHz","JRC–32DD MIMO Precision - Ø 900 mm, Aluminium alloy, 32.1 ± 1 dBi, 4.3?, 4.9 – 6.4 GHz","10,471.89"
JR-JRC 35 DUPLEX PREC,"JRC-35 DuplEX - Precision - ø 1200 mm, Frequency range 5.45 - 5.85 GHz, 34dBi, 3.1°","JRC-35 DuplEX - Precision - ø 1200 mm, Frequency range 5.45 - 5.85 GHz, 34dBi, 3.1°","11,196.00"
JR-JRMC 680 10 11RA,"JRMC-680-10/11Ra - ø 680 mm, Frequency range 10.0 - 11.7 GHz, 36dBi, 3°, wave guide","JRMC-680-10/11Ra - ø 680 mm, Frequency range 10.0 - 11.7 GHz, 36dBi, 3°, wave guide","7,086.11"
JR-JXAF 11,JXAF-11 adapter kit for UBNT 11x,JXAF-11 adapter kit for UBNT 11x,"2,262.30"
ViBE Licence,ViBE Base Licence- For Mikrotik RB951/RB750 models,ViBE Base Licence- For Mikrotik RB951/RB750 models,400
